name,popularity
Murungai Keerai Sambar Recipe - Drumstick Leaves Sambar,"[<span id=""recipenumvotes"">8626 ratings.</span>]"
Palak Kichdi Recipe,"[<span id=""recipenumvotes"">1769 ratings.</span>]"
Corn Methi Malai Gravy Recipe,"[<span id=""recipenumvotes"">7332 ratings.</span>]"
Lemon Thyme Rasam Recipe,"[<span id=""recipenumvotes"">912 ratings.</span>]"
Murungai Keerai Puttu - Drumstick Leaves Puttu Recipe,"[<span id=""recipenumvotes"">1469 ratings.</span>]"
Avarekalu Usli Recipe,"[<span id=""recipenumvotes"">4095 ratings.</span>]"
Baked Whole Wheat Masala Baati Recipe (Healthy Rajasthani Spiced Wheat Dumplings),"[<span id=""recipenumvotes"">2062 ratings.</span>]"
Ringna Batata Nu Shaak Recipe- Aloo Baingan Ki Sabzi Recipe,700
Chettinad Mutton Chops Kuzhambu Recipe-Mutton Chops Curry,700
Khandeshi Dal Recipe,"[<span id=""recipenumvotes"">3162 ratings.</span>]"
Carrot Cauliflower Peas Sabzi Recipe - Gajar Gobi Matar Sabzi,"[<span id=""recipenumvotes"">3281 ratings.</span>]"
Masala Akki Roti Recipe - Spicy Rice Flour Flatbread,700
Jolada Ganji Recipe (Jowar Savoury Porridge),700
Bajra Matar Ki Khichdi (Gluten Free Breakfast Recipe),"[<span id=""recipenumvotes"">1755 ratings.</span>]"
Aloo Bhindi Sabzi Recipe - Potatoes Lady's Finger Stir Fry,700
Vendakkai Podi Curry Recipe - Vendakkai Poriyal,700
Fusion Style Paneer Malai Makhani Recipe,"[<span id=""recipenumvotes"">1432 ratings.</span>]"
Andhra Gongura Pachadi Recipe - Andhra Style Sorrel Leaves Chutney,700
Kurkuri Bhindi With Spicy Tomato Yogurt Gravy Recipe,"[<span id=""recipenumvotes"">864 ratings.</span>]"
Lehsuni Methi Paneer Recipe - Garlic Methi Paneer Curry,700
Vazha Thandu Poriyal Recipe - Tamil Nadu Style Dry Banana Stem Fry,700
Goan Shepeche Polle Recipe,700
Ghoogri Recipe - Jowar Upma,700
Maharashtrian Anarsa Recipe,"[<span id=""recipenumvotes"">1646 ratings.</span>]"
Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings),"[<span id=""recipenumvotes"">939 ratings.</span>]"
Assamese Poita Bhat With Aloo Pitika Recipe,"[<span id=""recipenumvotes"">3097 ratings.</span>]"
Mangalore Style Southe Gatti/Southekayi kadubu Recipe (Steamed Cucumber Dumplings),"[<span id=""recipenumvotes"">3686 ratings.</span>]"
Semolina Vegetable Chilla Recipe,700
Mullangi Poriyal Recipe,700
Kathirikai Urulai Kizhangu Kara Kuzhambu Recipe,700
